====================================================================================================
INDEPENDENT PE REVERSAL RESEARCH
CANDLES: 7951
REVERSAL EVENT CANDLES: 2591

====================================================================================================
FINAL INDEPENDENT PE REVERSAL RESULTS
UP3+LOWER_HIGH+BEAR+TIME_MID_1100_1300 | SIGNALS 363 | RATE 58.4 % | AVG MFE 0.1202 % | AVG MAE 0.0959 %
UP3+NEAR_LOW+BEAR+TIME_AFTERNOON_1300_1430 | SIGNALS 329 | RATE 47.72 % | AVG MFE 0.1219 % | AVG MAE 0.1198 %
UP5+BREAK_LOW+EMA+NEAR_LOW | SIGNALS 458 | RATE 47.6 % | AVG MFE 0.1229 % | AVG MAE 0.1309 %
UP5+BREAK_LOW+EMA+NEAR_LOW+TIME_MID_1100_1300 | SIGNALS 150 | RATE 47.33 % | AVG MFE 0.1192 % | AVG MAE 0.1112 %
UP3+EMA_REJECTION+BEAR+TIME_OPEN_0915_1100 | SIGNALS 140 | RATE 47.14 % | AVG MFE 0.1376 % | AVG MAE 0.1467 %
UP3+BREAK_LOW+NEAR_LOW+TIME_AFTERNOON_1300_1430 | SIGNALS 152 | RATE 46.71 % | AVG MFE 0.1172 % | AVG MAE 0.1166 %
UP5+BREAK_LOW+EMA+NEAR_LOW+TIME_OPEN_0915_1100 | SIGNALS 120 | RATE 46.67 % | AVG MFE 0.1308 % | AVG MAE 0.1743 %
UP3+BREAK_LOW+EMA+TIME_AFTERNOON_1300_1430 | SIGNALS 161 | RATE 46.58 % | AVG MFE 0.118 % | AVG MAE 0.119 %
UP3+LOWER_HIGH+BEAR+TIME_AFTERNOON_1300_1430 | SIGNALS 299 | RATE 45.82 % | AVG MFE 0.1158 % | AVG MAE 0.125 %
UP5+BREAK_LOW+EMA+NEAR_LOW+TIME_AFTERNOON_1300_1430 | SIGNALS 129 | RATE 45.74 % | AVG MFE 0.1095 % | AVG MAE 0.1221 %
UP3+BREAK_LOW+TIME_AFTERNOON_1300_1430 | SIGNALS 202 | RATE 45.54 % | AVG MFE 0.1176 % | AVG MAE 0.1202 %
BEARISH_ENGULF_AFTER_UP+TIME_AFTERNOON_1300_1430 | SIGNALS 106 | RATE 45.28 % | AVG MFE 0.1173 % | AVG MAE 0.1247 %
